Title,Ease_Score,Download_Count,Index
Insights and Heresies Pertaining to the Evolution of the Soul,51.8,40,18355
"Papers and Proceedings of the Thirty-Fourth Annual Meeting of the American Library Association
Held at Ottawa, Canada, June 26-July 2, 1912",58.7,75,45756
Mesa Verde: Junior Ranger Booklet,80.5,67,59949
"Seventeen
A Tale of Youth and Summer Time and the Baxter Family, Especially William",80.6,133,1611
Brownie's triumph,77.7,67,71118
Whoso Findeth a Wife,70,91,40837
The Syrian Christ,67.3,119,40285
Emanuel Swedenborg's Investigations in Natural Science and the Basis for His Statements Concerning the Functions of the Brain,46.6,70,63033
In Friendship's Guise,82.8,135,15965
"The Private Diary of Dr. John Dee, and the Catalog of His Library of Manuscripts",79.1,589,19553
Three Soldiers,83.9,362,6362
"The Story of the Great War, Volume V (of 12)
Neuve Chapelle, Battle of Ypres, Przemysl, Mazurian Lakes",64,95,23861
Not Like Other Girls,79.6,151,28463
"Table traits, with something on them",62.6,85,69859
In the Days of Queen Victoria,73.7,96,35576
Discipline and Other Sermons,71.3,118,7042
It,83.4,56,64009
Mrs. Tree's Will,81.5,63,39558
"English-Bisaya Grammar, in Twenty Eight Lessons",77.3,547,42026
Wacousta : a tale of the Pontiac conspiracy — Volume 3,56.5,58,4911
The Tell El Amarna Period,66.8,239,26145
The House of Strange Secrets: A Detective Story,70,74,34947
"A Brief History of the English Language and Literature, Vol. 2",69.8,383,21665
A Book of Quaker Saints,74.1,98,19605
"A Narrative of the Life of Rev. Noah Davis, A Colored Man
Written by Himself, At The Age of Fifty-Four",76.8,67,20005
Germinie Lacerteux,75.8,141,27711
Stories of the Cave People,83.8,63,59922
The quest for the rose of Sharon,81.3,64,69112
"The Little Book of Modern Verse
A Selection from the Work of Contemporaneous American Poets",76,49,1165
"On the Origin of Species by Means of Natural Selection
or the Preservation of Favoured Races in the Struggle for Life. (2nd edition)",48.2,317,22764
Antonio Stradivari,48.1,84,36535
"The Motor Boys Overland; Or, A Long Trip for Fun and Fortune",92.7,102,42748
"A Parody on ""Mary's Ghost;"" or, The Doctors and Body-snatchers.
A Pathetic Tale, With Numerous Additions.",88.6,56,67336
"Punch, or the London Charivari, Vol. 158, 1920-01-14",72.2,203,16107
Beach Scene,84.8,55,51494
Mrs. Ames,79.3,45,60168
"Jolly Sally Pendleton; Or, the Wife Who Was Not a Wife",80.7,67,29544
"Beehive for Bairns, Vol. 2: From 1st Size to 2 Years
With Special Supplement: Bed Jackets",98.1,123,45632
Once Upon a Time in Connecticut,73.3,101,6697
The Birth of Civilization in the Near East,58.9,164,56571
The First Book of Eve,48.3,48,60404
"The neutral merchant
in relation to the law of contraband of war and blockade under the order in Council of 11th March, 1915",47.6,61,69710
"The Boy Allies at Jutland; Or, The Greatest Naval Battle of History",84.4,79,10081
Shakspere & Typography,66,60,40841
The Lay of the Land,76.5,159,50650
My Aunt Margaret's Mirror,59.6,165,1667
"The Brass Bell; or, The Chariot of Death",78.8,53,26623
Buddhism and Buddhists in China,62.4,117,8390
Port Arthur : $b a monster heroism,69.4,87,56038
"The Anti-Slavery Examiner, Part 3 of 4",64.2,102,11273
A Gentleman of Leisure,85.6,224,65172
Annie Besant: An Autobiography,59.7,285,12085
Anglo-Saxon Literature,66.3,255,17101
"The Three Voyages of Captain Cook Round the World, Vol. III. Being the First of the Second Voyage",70.7,165,61155
The Last of Mrs. DeBrugh,86.3,43,32468
"Beyond the Lines; Or, A Yankee Prisoner Loose in Dixie",67.5,66,63120
"The Submarine Boys' Lightning Cruise
The Young Kings of the Deep",83.2,61,17058
The Varieties of Religious Experience: A Study in Human Nature,55.7,1333,621
The Land of Riddles (Russia of To-day),59.1,62,56772
The discovery and decipherment of the trilingual cuneiform inscriptions,57.6,99,71905
Mudfog and Other Sketches,52.3,120,912
"The Fool Errant
Being the Memoirs of Francis-Anthony Strelley, Esq., Citizen of Lucca",78.6,78,5755
At the Sign of the Sphinx. Second series,84.8,68,49124
Exile,74.4,65,22346
"Farnham's Travels in the Great Western Prairies, etc., part 1, May 21-October 16, 1839",64.8,370,48046
"How to be a man : $b a book for boys, containing useful hints on the formation of character",67.7,129,56263
"Harper's Round Table, January 21, 1896",81.4,50,52604
Bible Emblems,67.5,67,41381
"Gold, Gold, in Cariboo! A Story of Adventure in British Columbia",83.6,81,45870
A Field Book of the Stars,75.6,268,20769
"A Wreath of Virginia Bay Leaves
Poems of James Barron Hope",70.9,47,9653
Three John Silence Stories,67.3,217,10624
"Notes on Certain Maya and Mexican Manuscripts
Third Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1881-82, Government Printing Office, Washington, 1884, pages 3-66",60.7,74,20456
The Secret Guide to Computers,69,91,672
"The Woodlands orchids, described and illustrated : $b with stories of orchid-collecting,",73.5,111,32205
The Girls of St. Cyprian's: A Tale of School Life,70.6,115,37161
Beyond the Frontier: A Romance of Early Days in the Middle West,80.7,55,30319
"The Great Invasion of 1813-14; or, After Leipzig
Being a story of the entry of the allied forces into Alsace and Lorraine, and their march upon Paris after the Battle of Leipzig, called the Battle of the Kings and Nations",78.9,81,58173
